Country Name,Country Code,Access to electricity percent of population
Afghanistan,AFG,98.71320343
Albania,ALB,100
Algeria,DZA,100
American Samoa,ASM,
Andorra,AND,100
Angola,AGO,43.25925827
Antigua and Barbuda,ATG,100
Argentina,ARG,100
Armenia,ARM,100
Aruba,ABW,100
Australia,AUS,100
Austria,AUT,100
Azerbaijan,AZE,100
"Bahamas, The",BHS,100
Bahrain,BHR,100
Bangladesh,BGD,85.16042328
Barbados,BRB,100
Belarus,BLR,100
Belgium,BEL,100
Belize,BLZ,99.54001617
Benin,BEN,41.52923965
Bermuda,BMU,100
Bhutan,BTN,100
Bolivia,BOL,95.5853653
Bosnia and Herzegovina,BIH,100
Botswana,BWA,64.85172272
Brazil,BRA,100
British Virgin Islands,VGB,100
Brunei Darussalam,BRN,100
Bulgaria,BGR,100
Burkina Faso,BFA,14.4
Burundi,BDI,11.02425194
Cabo Verde,CPV,93.58599854
Cambodia,KHM,91.55067444
Cameroon,CMR,62.66007233
Canada,CAN,100
Cayman Islands,CYM,100
Central African Republic,CAF,32.42039871
Chad,TCD,11.75935555
Channel Islands,CHI,
Chile,CHL,100
China,CHN,100
Colombia,COL,99.93644714
Comoros,COM,81.92275238
"Congo, Dem. Rep.",COD,18.97766113
"Congo, Rep.",COG,68.51843262
Costa Rica,CRI,100
Cote d'Ivoire,CIV,66.99118042
Croatia,HRV,100
Cuba,CUB,100
Curacao,CUW,100
Cyprus,CYP,100
Czech Republic,CZE,100
Denmark,DNK,100
Djibouti,DJI,60.39544678
Dominica,DMA,100
Dominican Republic,DOM,100
Ecuador,ECU,100
"Egypt, Arab Rep.",EGY,100
El Salvador,SLV,100
Equatorial Guinea,GNQ,67.03250122
Eritrea,ERI,49.61554337
Estonia,EST,100
Eswatini,SWZ,76.50398254
Ethiopia,ETH,44.97995758
Faroe Islands,FRO,100
Fiji,FJI,99.5933609
Finland,FIN,100
France,FRA,100
French Polynesia,PYF,100
Gabon,GAB,93.03568268
"Gambia, The",GMB,60.3
Georgia,GEO,100
Germany,DEU,100
Ghana,GHA,82.39457703
Gibraltar,GIB,100
Greece,GRC,100
Greenland,GRL,100
Grenada,GRD,95.29198456
Guam,GUM,100
Guatemala,GTM,94.69546509
Guinea,GIN,44
Guinea-Bissau,GNB,28.66202164
Guyana,GUY,91.84952545
Haiti,HTI,45.27788925
Honduras,HND,91.88720703
"Hong Kong SAR, China",HKG,100
Hungary,HUN,100
Iceland,ISL,100
India,IND,95.2358551
Indonesia,IDN,98.51
"Iran, Islamic Rep.",IRN,100
Iraq,IRQ,99.9
Ireland,IRL,100
Isle of Man,IMN,100
Israel,ISR,100
Italy,ITA,100
Jamaica,JAM,98.93328094
Japan,JPN,100
Jordan,JOR,99.9
